,Oil_store,주소,가격,셀프,상표,구
366,대성석유(주)직영관문주유소,서울특별시 강서구  공항대로 314 (내발산동),1568.0,N,GS칼텍스,강서구
367,화곡현대주유소,서울 강서구 강서로 151 (화곡동),1578.0,N,SK에너지,강서구
368,세원1주유소,서울 강서구 양천로 311 (가양동),1588.0,Y,SK에너지,강서구
369,박물관주유소,서울 강서구 양천로53길 97 (가양동),1588.0,N,GS칼텍스,강서구
370,진일주유소,서울 강서구 공항대로 533 (염창동),1596.0,Y,SK에너지,강서구
371,신화곡주유소,서울특별시 강서구  국회대로 71 (화곡동),1597.0,N,S-OIL,강서구
372,SK에너지(주) 가양주유소,서울 강서구 강서로 498 (가양동),1598.0,N,SK에너지,강서구
373,참솔에너지,서울 강서구 벌말로 281 (오곡동),1598.0,Y,S-OIL,강서구
374,코리나(주)청룡주유소,서울 강서구 양천로 576 (등촌동),1618.0,N,SK에너지,강서구
375,하이웨이주유소,서울 강서구 공항대로 432 (화곡동),1628.0,N,S-OIL,강서구
376,동양석유주식회사,서울 강서구 양천로 715 (염창동),1749.0,N,GS칼텍스,강서구
377,염창동주유소,서울 강서구 양천로 720 (염창동),1838.0,N,SK에너지,강서구
378,SK네트웍스에어포트주유소,서울특별시 강서구 개화동로 519 (방화동),1898.0,N,SK에너지,강서구
379,(주)엠오티이엔지 직영 삼화주유소,서울특별시 관악구 보라매로 41 (봉천동),1509.0,N,알뜰주유소,관악구
380,대양석유(주)직영 보라매주유소,서울특별시 관악구  보라매로 26 (봉천동),1528.0,Y,SK에너지,관악구
381,대공원주유소,서울특별시 관악구  과천대로 921 (남현동),1539.0,N,SK에너지,관악구
382,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),1539.0,Y,GS칼텍스,관악구
383,남현주유소,서울 관악구 남부순환로 2014 (남현동),1539.0,N,현대오일뱅크,관악구
384,(주)연우에너지 신관주유소,서울특별시 관악구  신림로 290 (신림동) 신관주유소,1558.0,Y,GS칼텍스,관악구
385,현대주유소,서울 관악구 난곡로 108 (신림동),1568.0,N,현대오일뱅크,관악구
386,난곡주유소,서울 관악구 난곡로 206 (신림동),1568.0,N,GS칼텍스,관악구
387,서울셀프주유소,서울특별시 관악구  신림로 183 (신림동),1578.0,Y,SK에너지,관악구
388,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),1588.0,N,S-OIL,관악구
389,한규상사 유정주유소,서울 관악구 남부순환로 1691 (봉천동),1597.0,N,SK에너지,관악구
390,문성골주유소,서울 관악구 문성로 97 (신림동),1597.0,N,현대오일뱅크,관악구
391,(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),1598.0,Y,SK에너지,관악구
392,유림주유소,서울 관악구 신림로 176 (신림동),1598.0,N,S-OIL,관악구
393,형제주유소,서울특별시 관악구  남부순환로 1520 (신림동) 형제주유소,1608.0,N,S-OIL,관악구
394,씨제이대한통운(주)서울지점,서울특별시 관악구 남부순환로 1515 (신림동),1668.0,N,GS칼텍스,관악구
395,SK네트웍스직영 관악로주유소,서울 관악구 관악로 260 (봉천동),1798.0,N,SK에너지,관악구
396,SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),1877.0,N,SK에너지,관악구
397,태양주유소,서울특별시 광진구  동일로 345 (중곡동),1522.0,N,GS칼텍스,광진구
398,평안주유소,서울 광진구 천호대로 630 (능동),1522.0,N,알뜰주유소,광진구
399,현대오일뱅크(주)직영 능동주유소,서울특별시 광진구  천호대로 584 (능동),1522.0,Y,현대오일뱅크,광진구
400,용마주유소,서울 광진구 용마산로 68 (중곡동),1529.0,N,GS칼텍스,광진구
